field1,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,NumberOfTimeTotalDelay,isOld,SeriousDlqin2yrs.1,confidence,0 probability,1 probability,my_predict,confusion
278,0,0.0,44,0,0.32638368100000004,6666,4,0,2,0,1,0,False,0,0.96839,0.9786,0.0214,0,TN
282,0,0.991667222,36,1,0.554878049,5411,10,0,2,0,1,1,False,0,0.7190300000000001,0.7610100000000001,0.23899,0,TN
283,0,0.6914884179999999,42,0,0.272721679,16250,11,0,1,0,1,0,False,0,0.92537,0.9457700000000001,0.054229999999999993,0,TN
289,0,0.074256375,49,0,0.347930414,5000,11,0,2,0,3,0,False,0,0.97472,0.98336,0.016640000000000002,0,TN
293,0,0.679813777,83,0,0.6895897559999999,4216,6,0,2,0,0,0,True,0,0.9490000000000001,0.9643,0.0357,0,TN
295,0,0.371875401,29,0,0.53628857,2300,9,0,1,0,3,0,False,0,0.96835,0.98369,0.016309999999999998,0,TN
301,0,0.25889775,33,0,0.537441339,4900,3,0,1,0,1,0,False,0,0.98401,0.99118,0.00882,0,TN
302,0,0.0,55,1,0.03988553,5590,8,0,0,0,0,1,False,0,0.96268,0.97393,0.026080000000000002,0,TN
303,0,0.035940506000000004,46,0,0.271186441,6666,10,0,1,0,3,0,False,0,0.9653,0.9770399999999999,0.022959999999999998,0,TN
305,0,0.465238835,66,0,0.391427671,3172,8,1,1,0,0,1,False,0,0.79591,0.8279700000000001,0.17203,0,TN
307,0,0.6964116709999999,52,0,0.408871921,11000,11,0,1,0,4,0,False,0,0.9386899999999999,0.9533799999999999,0.04662,0,TN
312,0,0.016598893,30,0,0.13657561599999998,1500,5,0,0,0,0,0,False,0,0.96699,0.9777,0.0223,0,TN
314,0,0.093638481,49,0,0.042836573,8333,10,0,0,0,1,0,False,0,0.9858100000000001,0.99082,0.009179999999999999,0,TN
315,0,0.0,37,0,0.184027338,7900,5,0,1,0,5,0,False,0,0.9728700000000001,0.98188,0.018119999999999997,0,TN
318,0,0.948978489,57,0,0.043744532,8000,3,0,0,0,1,0,False,0,0.9278200000000001,0.9450700000000001,0.05492999999999999,0,TN
329,0,0.284236153,45,1,0.318890815,7500,9,0,1,0,2,1,False,0,0.91815,0.93552,0.06448,0,TN
331,0,0.6877790970000001,62,0,0.249471161,7090,15,0,0,0,0,0,False,0,0.9068299999999999,0.9283899999999999,0.07161000000000001,0,TN
335,1,0.03719769,47,0,0.03975841,25000,11,0,1,0,3,0,False,0,0.97654,0.98669,0.013309999999999999,0,FN
348,0,0.049529205,61,0,542.0,0,15,0,0,0,0,0,False,0,0.9840700000000001,0.9893,0.0107,0,TN
352,0,0.0,58,0,8380.0,0,20,0,5,0,0,0,False,0,0.93125,0.95199,0.048010000000000004,0,TN
353,0,0.507972665,69,2,0.193935355,3000,10,2,0,2,0,6,False,1,0.5994,0.36168,0.63832,1,FP
361,0,0.143427862,67,0,0.119463561,5666,9,0,0,0,0,0,False,0,0.9766799999999999,0.9836,0.0164,0,TN
363,0,0.496388581,56,0,0.170164956,19580,12,0,1,0,1,0,False,0,0.97114,0.98145,0.01855,0,TN
375,0,0.292541492,74,0,0.164917541,2000,3,0,0,0,0,0,True,0,0.97672,0.98714,0.01286,0,TN
382,0,0.9999999,22,0,130.0,0,0,0,0,0,0,0,False,0,0.90249,0.92658,0.07342,0,TN
384,0,0.903231566,57,0,0.13080895,5228,10,0,0,0,0,0,False,0,0.92053,0.93904,0.06095,0,TN
396,0,0.000685675,83,0,0.0,0,4,0,0,0,0,0,True,0,0.9942799999999999,0.99654,0.00346,0,TN
401,0,0.134191514,63,0,926.5,1,9,0,1,0,0,0,False,0,0.99045,0.9957,0.0043,0,TN
404,0,0.203947961,46,1,1.206516118,5800,12,1,4,0,2,2,False,0,0.69492,0.7308399999999999,0.26916,0,TN
408,0,0.368866624,55,0,0.437996083,9700,18,0,2,0,0,0,False,0,0.96767,0.97964,0.02036,0,TN
413,0,0.0,59,0,2113.0,0,13,0,2,0,0,0,False,0,0.9899,0.99374,0.00626,0,TN
437,0,0.006999563,97,0,3.0,0,2,0,0,0,0,0,True,0,0.9943799999999999,0.99687,0.00314,0,TN
443,0,0.922670104,40,0,0.207789429,9345,7,0,0,0,0,0,False,0,0.9078799999999999,0.9296,0.0704,0,TN
446,0,0.008737352,68,0,0.209965006,6000,28,0,1,0,0,0,False,0,0.98666,0.9923,0.00771,0,TN
447,0,0.0,57,0,0.785229953,6783,8,0,3,0,0,0,False,0,0.9755,0.9834200000000001,0.01658,0,TN
455,0,0.069987933,33,0,0.114004783,3762,7,0,0,0,0,0,False,0,0.97105,0.9803799999999999,0.01962,0,TN
457,0,0.7406351609999999,39,0,0.432010059,5566,7,0,1,0,0,0,False,0,0.90165,0.9253100000000001,0.07468999999999999,0,TN
458,0,0.023382944,84,0,0.00912845,4600,6,0,0,0,0,0,True,0,0.99523,0.997,0.003,0,TN
469,1,0.9999999,32,0,0.006731051,3416,1,0,0,0,3,0,False,0,0.80165,0.83906,0.16094,0,FN
480,0,0.540204354,34,0,0.034395414,7500,3,1,0,0,0,1,False,0,0.77475,0.8096,0.1904,0,TN
484,0,0.045017363,72,0,0.020763907,3900,8,0,0,0,0,0,True,0,0.9931,0.99545,0.00455,0,TN
489,0,0.047587303,34,0,997.0,0,4,0,0,0,0,0,False,0,0.9666299999999999,0.9789700000000001,0.02103,0,TN
499,0,0.001124859,28,1,0.057990335,6000,8,1,0,0,0,2,False,0,0.69492,0.7308399999999999,0.26916,0,TN
502,0,0.090641506,69,0,0.016683266999999998,4015,2,0,0,0,0,0,False,0,0.9963200000000001,0.9980399999999999,0.00196,0,TN
507,0,0.290320472,48,0,0.262848568,7996,7,0,1,0,3,0,False,0,0.97577,0.98745,0.01255,0,TN
512,0,0.091201293,49,1,0.568886223,5000,15,0,2,0,0,1,False,0,0.95347,0.96644,0.03356,0,TN
517,0,0.065630892,31,0,0.162635688,5250,10,0,0,0,0,0,False,0,0.97088,0.9789700000000001,0.02103,0,TN
531,0,0.0,82,0,0.0,0,3,0,0,0,0,0,True,0,0.9942799999999999,0.99654,0.00346,0,TN
536,0,0.749602291,62,0,7963.0,0,7,0,2,0,3,0,False,0,0.96193,0.97615,0.02385,0,TN
556,0,0.408215982,39,0,677.0,0,4,0,0,0,2,0,False,0,0.9466200000000001,0.9687,0.0313,0,TN
559,0,0.004552998,34,0,3.0,0,2,0,0,0,0,0,False,0,0.96762,0.97901,0.02099,0,TN
562,0,0.162077194,38,0,0.024885359,70000,6,0,1,0,2,0,False,0,0.98946,0.99564,0.00436,0,TN
563,0,0.57073821,39,0,1314.0,0,5,2,2,0,0,2,False,0,0.66755,0.7024600000000001,0.29754,1,FP
566,0,0.0,75,0,0.5274314210000001,801,4,0,1,0,0,0,True,0,0.9942799999999999,0.99654,0.00346,0,TN
569,0,0.584844623,60,0,0.293637575,6003,11,0,1,0,0,0,False,0,0.94137,0.95596,0.044039999999999996,0,TN
581,0,0.30248201,46,0,0.34805720799999995,7900,12,0,1,0,2,0,False,0,0.97652,0.9873299999999999,0.01267,0,TN
594,0,0.181579946,54,0,0.3539428,6048,9,0,1,0,1,0,False,0,0.97125,0.9831200000000001,0.016880000000000003,0,TN
596,0,0.048911121,63,0,0.102800764,6283,4,0,0,0,1,0,False,0,0.9832,0.9900399999999999,0.00996,0,TN
602,0,0.269257489,44,0,0.607594937,1500,7,0,0,0,3,0,False,0,0.9724,0.9837299999999999,0.01627,0,TN
609,0,0.095634788,36,0,0.17526690399999995,2247,4,0,0,0,1,0,False,0,0.96867,0.9790700000000001,0.02093,0,TN
610,0,0.124801376,62,0,0.5668944570000001,6584,15,0,2,0,0,0,False,0,0.97915,0.9854799999999999,0.014519999999999998,0,TN
614,0,0.184476515,32,0,0.444956049,7166,11,0,2,0,0,0,False,0,0.9622799999999999,0.97749,0.02251,0,TN
628,0,0.346960384,41,0,1.432686655,1700,13,0,3,0,2,0,False,0,0.86831,0.90655,0.09345,0,TN
629,0,0.024305835,30,0,1581.0,0,6,0,1,0,0,0,False,0,0.9747600000000001,0.9831700000000001,0.01683,0,TN
630,0,0.9999999,40,0,2866.0,0,2,0,2,0,0,0,False,0,0.92219,0.94501,0.05499,0,TN
631,0,0.0,56,0,0.0,6200,2,0,0,0,0,0,False,0,0.98721,0.99192,0.00808,0,TN
635,0,0.057887851,56,0,0.238127698,4400,13,0,1,0,1,0,False,0,0.98388,0.98908,0.010920000000000001,0,TN
643,1,0.402345742,37,0,0.337622356,12667,16,0,2,0,3,0,False,0,0.9427700000000001,0.9585299999999999,0.04147,0,FN
653,0,0.0,49,0,0.62273579,1600,10,0,1,0,1,0,False,0,0.9789899999999999,0.9860399999999999,0.01396,0,TN
655,1,0.149314411,36,0,0.5583203729999999,4500,9,0,3,0,0,0,False,0,0.9292600000000001,0.94689,0.053110000000000004,0,FN
671,0,0.914867126,40,0,0.517037339,4900,7,0,1,0,1,0,False,0,0.88392,0.90809,0.09191,0,TN
689,0,0.091106715,63,0,0.035418452,3500,5,0,0,0,0,0,False,0,0.99046,0.9944,0.0056,0,TN
698,1,2066.0,58,0,0.27112148,6000,8,1,1,0,1,1,False,0,0.44566000000000006,0.5198699999999999,0.48013,1,TP
701,0,0.003938695,75,0,0.199949219,7876,11,0,2,0,0,0,True,0,0.9933299999999999,0.9957799999999999,0.004220000000000001,0,TN
703,0,0.160899231,33,0,0.182363527,3333,13,0,0,0,0,0,False,0,0.95262,0.96706,0.03294,0,TN
704,0,0.25250536100000004,52,0,0.442592901,6000,13,0,1,0,2,0,False,0,0.95983,0.97188,0.02812,0,TN
723,0,0.476535633,33,0,0.312937413,5000,4,0,1,0,0,0,False,0,0.97446,0.98567,0.01433,0,TN
725,0,0.116188171,33,0,0.043739065,4000,9,0,0,0,0,0,False,0,0.97283,0.98056,0.01945,0,TN
730,0,0.029185402000000006,41,0,0.336295473,3600,5,0,1,0,0,0,False,0,0.96826,0.97872,0.02128,0,TN
731,0,0.985092264,48,0,0.376905611,3082,4,0,1,0,0,0,False,0,0.9366899999999999,0.9533200000000001,0.04668,0,TN
741,0,0.061214562,35,0,0.453692681,21000,7,0,2,0,0,0,False,0,0.9787799999999999,0.98767,0.012329999999999999,0,TN
749,0,0.0,57,0,0.335066493,10000,11,0,2,0,3,0,False,0,0.98682,0.99075,0.00925,0,TN
754,0,0.471803323,60,0,0.365787835,9633,12,0,1,0,1,0,False,0,0.97744,0.98639,0.013609999999999999,0,TN
759,0,0.025711593,55,0,0.540702656,3500,8,0,1,0,2,0,False,0,0.97995,0.9862799999999999,0.01372,0,TN
761,1,0.02331266,58,0,0.632371083,4052,13,1,2,0,0,1,False,0,0.83673,0.8602799999999999,0.13972,0,FN
769,1,0.0,32,0,0.44187375,3500,5,0,1,0,2,0,False,0,0.9659,0.97677,0.02323,0,FN
770,0,0.07237774400000001,48,0,0.399050079,12000,9,0,2,0,0,0,False,0,0.98615,0.99119,0.00881,0,TN
772,0,0.0,58,0,526.0,0,5,0,1,0,1,0,False,0,0.9908600000000001,0.9940899999999999,0.00591,0,TN
784,0,0.004680652,29,0,0.057388522,5000,4,0,0,0,0,0,False,0,0.96791,0.97854,0.02146,0,TN
786,0,0.982477859,36,0,0.508163945,3000,3,0,1,0,0,0,False,0,0.92869,0.9452299999999999,0.054770000000000006,0,TN
788,0,0.01087466,82,0,0.001287001,7769,6,0,0,0,0,0,True,0,0.9951399999999999,0.99711,0.0028899999999999998,0,TN
792,0,0.994428754,42,0,2336.0,0,11,0,2,0,3,0,False,0,0.7712899999999999,0.8174,0.1826,0,TN
795,0,0.031593681,33,0,523.0,0,3,0,0,0,0,0,False,0,0.96931,0.98003,0.019969999999999998,0,TN
801,1,0.962946947,50,0,0.68127587,4106,8,0,1,1,0,1,False,0,0.59821,0.65212,0.34788,1,TP
803,0,0.0,45,0,0.7358164540000001,10416,11,0,4,0,1,0,False,0,0.96073,0.97216,0.027839999999999997,0,TN
805,0,0.134374585,63,0,111.0,0,2,0,0,0,0,0,False,0,0.99216,0.9960100000000001,0.00399,0,TN
811,0,0.9999999,24,0,0.0,3833,1,0,0,0,0,0,False,0,0.90096,0.9249200000000001,0.07508,0,TN
812,0,0.682708972,41,4,0.38708711,13350,8,0,4,0,1,4,False,0,0.6859,0.73626,0.26374000000000003,0,TN
814,0,0.013105862,76,0,736.0,0,15,0,1,0,0,0,True,0,0.98792,0.99235,0.00765,0,TN
815,0,0.0,87,0,2.0,0,2,0,0,0,0,0,True,0,0.99265,0.99567,0.00433,0,TN
817,0,0.0,46,0,0.107878122,3642,11,0,0,0,4,0,False,0,0.9697,0.97905,0.02095,0,TN
825,0,0.715720439,33,0,1.002499107,2800,8,0,2,0,0,0,False,0,0.8796299999999999,0.9043399999999999,0.09567,0,TN
829,0,0.0,31,0,0.432783608,2000,9,0,1,0,0,0,False,0,0.9674200000000001,0.9765799999999999,0.02342,0,TN
831,0,0.524915836,32,0,969.0,0,6,0,0,0,0,0,False,0,0.9187299999999999,0.9498,0.0502,0,TN
832,0,0.335445712,40,0,0.344679838,4200,6,0,2,1,0,1,False,0,0.8640000000000001,0.88866,0.11134000000000001,0,TN
834,0,0.235225157,37,0,0.335036659,4500,5,0,1,0,1,0,False,0,0.98401,0.99118,0.00882,0,TN
835,0,0.0,63,0,779.0,0,6,0,1,0,0,0,False,0,0.98908,0.9928799999999999,0.0071200000000000005,0,TN
836,0,0.0,28,0,852.0,0,3,0,0,0,0,0,False,0,0.97229,0.9817600000000001,0.01824,0,TN
837,0,0.001901275,69,0,0.0,5455,6,0,0,0,0,0,False,0,0.99434,0.9966,0.0034,0,TN
848,1,0.0,44,0,6046.0,0,9,0,3,0,0,0,False,0,0.9517,0.96604,0.033960000000000004,0,FN
852,0,0.047294357,57,0,0.447142596,5476,14,0,1,0,0,0,False,0,0.9845700000000001,0.98962,0.01039,0,TN
861,0,0.457154579,50,0,0.103425118,13400,7,0,0,0,2,0,False,0,0.9695,0.9810200000000001,0.01898,0,TN
866,0,0.128419662,59,0,0.226433961,11000,10,0,1,0,0,0,False,0,0.98987,0.9935299999999999,0.00647,0,TN
870,0,0.086492476,64,0,0.074734316,5833,8,0,1,0,1,0,False,0,0.98116,0.9870700000000001,0.01293,0,TN
874,0,0.093741762,41,2,0.7181719259999999,3675,10,0,3,0,2,2,False,0,0.8529899999999999,0.8801100000000001,0.1199,0,TN
877,0,0.041411471,45,0,0.008456176,8750,3,0,0,0,3,0,False,0,0.9783200000000001,0.9869399999999999,0.013059999999999999,0,TN
881,0,0.9999999,26,0,0.137820513,1871,1,0,0,0,0,0,False,0,0.88649,0.9106799999999999,0.08932000000000001,0,TN
883,0,0.606025418,39,3,0.375647341,7916,10,0,2,0,2,3,False,0,0.74985,0.77775,0.22225999999999999,0,TN
891,0,0.194625748,31,1,0.283571758,4333,20,0,0,0,0,1,False,0,0.887,0.91435,0.08565,0,TN
898,0,0.122544324,57,0,0.42893401,4333,9,0,1,0,1,0,False,0,0.97972,0.98605,0.01395,0,TN
899,0,0.667833042,60,0,81.0,0,2,0,0,0,0,0,False,0,0.9257799999999999,0.94289,0.05711,0,TN
902,0,0.013767118,64,0,2004.0,0,10,0,2,0,0,0,False,0,0.98413,0.9916,0.0084,0,TN
907,0,0.020480494,35,0,1673.0,0,10,0,1,0,1,0,False,0,0.9747399999999999,0.9822299999999999,0.017769999999999998,0,TN
909,0,0.518186405,73,0,0.5048870910000001,8900,17,0,1,0,1,0,True,0,0.9620000000000001,0.97382,0.026180000000000002,0,TN
914,0,0.9999999,36,0,0.194963754,2620,3,0,0,0,0,0,False,0,0.8830899999999999,0.90733,0.09267,0,TN
919,0,0.004884836,34,0,0.474904943,5259,11,0,2,0,2,0,False,0,0.97057,0.9788899999999999,0.02111,0,TN
925,0,0.0427599,52,0,7806.0,0,21,0,2,0,2,0,False,0,0.9577600000000001,0.97362,0.026389999999999997,0,TN
926,0,0.222506167,59,0,0.271467415,11400,9,0,2,0,0,0,False,0,0.98111,0.9887299999999999,0.01127,0,TN
928,0,0.028775625,44,0,0.137224283,5122,4,0,0,0,0,0,False,0,0.9706299999999999,0.98044,0.01956,0,TN
930,0,0.018538176,74,0,1184.0,0,8,0,1,0,0,0,True,0,0.9944200000000001,0.99682,0.0031899999999999997,0,TN
936,0,0.5262016620000001,54,4,0.343546258,25000,9,0,3,0,1,4,False,0,0.77923,0.80579,0.19421,0,TN
942,0,0.15364667699999998,34,0,1.220066377,3916,7,0,2,0,0,0,False,0,0.97483,0.98988,0.01013,0,TN
947,0,0.0,35,0,0.0,1500,3,0,0,0,0,0,False,0,0.96903,0.97962,0.020390000000000002,0,TN
951,0,0.03452873,55,0,0.514162132,7166,7,0,2,0,1,0,False,0,0.9831200000000001,0.99021,0.00979,0,TN
961,0,0.8335941579999999,44,0,178.0,0,9,0,0,0,0,0,False,0,0.87575,0.90786,0.09214,0,TN
962,0,0.030327811,70,0,1934.0,0,11,0,2,0,0,0,False,0,0.98825,0.99471,0.0052899999999999996,0,TN
967,0,0.029878794,50,0,0.318734063,13333,11,0,3,0,1,0,False,0,0.9759899999999999,0.98301,0.01699,0,TN
970,0,0.016658432,53,0,0.31518720100000003,9000,6,0,1,0,0,0,False,0,0.9909399999999999,0.99459,0.00541,0,TN
975,0,0.9999999,55,0,0.167543201,5323,1,1,0,1,2,2,False,0,0.63215,0.68015,0.31985,1,FP
979,0,0.256314605,58,3,1.511162946,3000,24,0,2,0,0,3,False,0,0.77796,0.80511,0.1949,0,TN
981,0,0.066113797,63,0,0.621679828,9750,24,0,2,0,2,0,False,0,0.9719899999999999,0.9807100000000001,0.01929,0,TN
983,0,0.041992219,32,0,85.0,0,7,0,0,0,0,0,False,0,0.96834,0.97825,0.02175,0,TN
985,0,0.951209758,36,0,0.061445262,2310,2,0,0,0,2,0,False,0,0.8784,0.90149,0.09851,0,TN
988,0,0.019327552,80,0,0.180763847,5000,11,0,0,0,0,0,True,0,0.99369,0.9958799999999999,0.00412,0,TN
999,0,0.040283239,54,0,0.135553584,12400,11,0,1,0,0,0,False,0,0.98931,0.9929899999999999,0.00701,0,TN
1001,0,0.6669486960000001,56,0,0.185055253,5700,7,0,0,0,0,0,False,0,0.93665,0.95314,0.04686,0,TN
1002,0,0.181442474,32,0,0.067877957,8750,2,0,0,0,0,0,False,0,0.9871700000000001,0.99369,0.0063100000000000005,0,TN
1027,0,0.224507069,58,0,1068.0,0,8,0,1,0,0,0,False,0,0.98811,0.99398,0.00602,0,TN
1033,0,0.135083219,58,0,0.06513930700000001,10300,7,0,0,0,2,0,False,0,0.9885799999999999,0.99251,0.007490000000000001,0,TN
1036,0,0.038660566,71,0,0.308086489,8000,7,0,1,0,0,0,True,0,0.9948600000000001,0.99702,0.00298,0,TN
1039,0,0.9999999,27,0,0.153061224,2253,3,0,0,0,0,0,False,0,0.89181,0.91406,0.08594,0,TN
1049,0,0.50009998,34,0,0.211071821,8200,3,0,1,0,0,0,False,0,0.9743200000000001,0.98813,0.01187,0,TN
1056,0,0.520689428,68,3,0.7773704379999999,6000,9,0,3,0,0,3,False,0,0.7911100000000001,0.8169,0.18311,0,TN
1078,0,0.148225606,63,0,1313.0,0,11,0,2,0,0,0,False,0,0.9849399999999999,0.99126,0.008740000000000001,0,TN
1079,0,0.68028326,80,0,0.42985336,4568,6,0,1,0,0,0,True,0,0.9567700000000001,0.97047,0.02953,0,TN
1082,0,0.012987013,22,0,0.0,0,2,0,0,0,0,0,False,0,0.9487,0.9667600000000001,0.03324,0,TN
1087,0,0.8663444709999999,34,0,0.14802475,2100,1,0,0,0,0,0,False,0,0.87044,0.8968,0.1032,0,TN
1088,0,0.0,87,0,0.067381539,6900,4,0,0,0,1,0,True,0,0.9917299999999999,0.9949100000000001,0.00509,0,TN
1092,1,0.9999999,41,0,219.0,0,1,2,0,1,0,3,False,0,0.5040100000000001,0.60187,0.39813000000000004,1,TP
1093,0,0.275326535,66,1,0.38317757,5884,17,0,1,0,0,1,False,0,0.9218,0.94025,0.05975,0,TN
1099,0,0.077246781,32,0,0.368421053,4084,7,0,1,0,0,0,False,0,0.9728100000000001,0.98174,0.01826,0,TN
1100,0,0.328303003,59,1,0.480057771,9000,9,0,2,0,0,1,False,0,0.91528,0.9342,0.06581000000000001,0,TN
1102,0,0.966275454,37,0,0.683523654,4290,8,0,1,0,2,0,False,0,0.8567100000000001,0.8855,0.1145,0,TN
1107,0,0.123471362,63,0,0.364188164,2635,6,0,1,0,1,0,False,0,0.9887799999999999,0.9927,0.0073,0,TN
1112,0,0.48092721,62,0,1.031724668,5200,14,0,3,0,1,0,False,0,0.9397,0.9600700000000001,0.03993,0,TN
1122,0,0.125014705,66,2,0.404638145,2500,4,0,1,0,0,2,False,0,0.84462,0.87126,0.12874000000000002,0,TN
1130,0,0.0199992,52,0,0.188452887,4000,6,0,1,0,1,0,False,0,0.97793,0.9844700000000001,0.01553,0,TN
1132,0,0.612030682,74,2,0.76967187,3138,10,1,2,0,0,3,True,0,0.54599,0.60552,0.39448,1,FP
1135,0,0.0,46,0,0.4502889020000001,5018,9,0,1,0,0,0,False,0,0.9797600000000001,0.9858600000000001,0.01414,0,TN
1142,0,0.9999999,38,1,17.0,0,1,0,0,0,0,1,False,0,0.72191,0.76891,0.2311,0,TN
1147,1,0.954449046,55,5,773.0,0,7,1,0,3,0,9,False,1,0.58065,0.37462,0.62538,1,TP
1153,0,0.6840209509999999,50,0,0.894878706,11500,21,0,3,0,0,0,False,0,0.81052,0.84514,0.15486,0,TN
1156,0,0.0,53,0,0.460725507,3500,7,1,1,1,0,2,False,0,0.65212,0.6965,0.3035,1,FP
1159,0,0.226957563,80,0,0.4375,4079,11,0,1,0,1,0,True,0,0.97926,0.98577,0.014230000000000001,0,TN
1166,0,0.321934593,44,0,1383.0,0,7,0,2,0,1,0,False,0,0.9810200000000001,0.9892,0.0108,0,TN
1169,0,0.099482078,44,0,0.431368631,5004,7,0,1,0,3,0,False,0,0.97119,0.9807799999999999,0.019219999999999998,0,TN
